Dataset,c1r1,c1r2,c1r3,c1r4,c1r5,c1r6,c1r7,c1r8,c2r1,c2r2,c2r3,c2r4,c2r5,c2r6,c2r7,c2r8,c3r1,c3r2,c3r3,c3r4,c3r5,c3r6,c3r7,c3r8,c4r1,c4r2,c4r3,c4r4,c4r5,c4r6,c4r7,c4r8,c5r1,c5r2,c5r3,c5r4,c5r5,c5r6,c5r7,c5r8,c6r1,c6r2,c6r3,c6r4,c6r5,c6r6,c6r7,c6r8,c7r1,c7r2,c7r3,c7r4,c7r5,c7r6,c7r7,c7r8,c8r1,c8r2,c8r3,c8r4,c8r5,c8r6,c8r7,c8r8
0,0.509225055,0.561797663,0.645247267,0.884955701,0.489437969,0.73965958,0.643328142,0.864724124,0.678428958,0.426064897,0.963182733,0.711213394,0.953196331,0.537754042,0.513155238,0.658492852,0.612452878,0.993016241,0.477187401,0.899136743,0.495083166,0.923774377,0.914113229,0.906062171,0.540806866,0.18469537,0.531042175,0.639739649,0.584111292,0.881835153,0.658126972,0.737818423,0.000976922,0.148727583,0.907255337,0.74869576,0.562758334,0.496027859,0.308627809,0.751175174,0.182222994,0.101967165,0.458245637,0.073190244,0.259320764,0.144521207,0.548404333,0.292669444,0.034940856,0.421581586,0.007859073,0.442249767,0.525778422,0.163307827,0.319216921,0.228829871,0,0,0.160349002,0.44306712,0.388764771,0.457376126,0.35202861,0.424349505
1,0.636103649,1,0.577857301,0.617189312,1,0.414275312,1,1,0.837012284,0.760410893,0.60464622,0.407135437,0.224329912,0.98477084,0.640672009,0.702190134,0.787500015,0.588960668,0.563319218,0.731591402,0.490994358,0.826841667,0.869512952,0.805112758,0.391053381,0.438709737,0.633552625,0.694343297,0.617584812,0.266108939,0.557029233,0.575858327,0.134697622,0.43355607,0.558903614,0.515296042,0.226023466,0.23815453,0.333949139,0.564205404,0.316884773,0.387526053,0.596029418,0.453666326,0.35636929,0.15842979,0.480546304,0.233772518,0.035827154,0.589021924,0.246446608,0.344622216,0.48924886,0.343770237,0.193334076,0.288842832,0.241654896,0.349762774,0.078196727,0.304197065,0.471062781,0.092357029,0.128102474,0.424641235
2,0.608927356,0.577741127,0.346807612,0.637849806,0.635575586,0.963683442,0.922941816,0.76199862,0.781143873,0.870036794,0.676030106,0.650694384,0.824514759,0.768286985,0.839153006,0.360529282,0.61530452,0.773260036,0.640764218,0.778651938,0.785826162,0.674557274,0.375367808,0.851743725,0.604947189,0.448357472,0.66179042,0.670319429,0.720520799,0.437797217,0.369474606,0.455548229,0.239089156,0.630666978,0.548302781,0.375214132,0.412311982,0.218268435,0.17974212,0.034069872,0.274007633,0.454657978,0.245732558,0.462274332,0.338659395,0.492396937,0.147825785,0.475939186,0.450567035,0.510654862,0.366845356,0.055608308,0.154520998,0.692405436,0.191795536,0.487689595,0.432932246,0,0.399807789,0.218015095,0.302508468,0.040782156,0.501747489,0.04345053
3,1,0.709805254,1,1,0.797402296,0.747221133,0.549294202,0.574753516,0.920736252,0.975872582,0.841783057,0.537701514,0.768882171,0.984392502,0.913432134,0.874720372,0.815277135,0.519684585,0.366607306,0.578180094,0.63856938,0.893393809,0.985495442,0.598770236,0.628447071,0.122245537,0.438824961,0.738076473,0.557107679,0.572505503,0.703167688,0.424300715,0.09597899,0.230444355,0.400210047,0.222467009,0.513773754,0.179168748,0.652519495,0.415809325,0.678775552,0.231216195,0.150403732,0.629318031,0.720859188,0.416666489,0.290358308,0.519326918,0.339596008,0.135587703,0.71603911,0.219685074,0.344506113,0.52949451,0.309987215,0.502302247,0.298730543,0.19086131,0,0.303215751,0.276234387,0.588803123,0.178177278,0.312138991
4,1,1,0.401649379,1,0.789377714,1,1,0.546401647,0.915000568,0.244271677,0.829471675,0.580729601,0.521387893,0.423047937,0.908963247,0.729968536,0.74193961,0.561550159,0.626708665,0.62680719,0.418007891,0.325575352,0.388420896,0.923388734,0.62892015,0.766059223,0.482550455,0.908835779,0.501236185,0.340160652,0.538024599,0.818454367,0.527220328,0.535696887,0.256104271,0.168804735,0.365008758,0.537619102,0.557134055,0.150778522,0.378421874,0.146471213,0.225183347,0.111754867,0.395768722,0.538102266,0.601773548,0.274893069,0.163361856,0.009083931,0.561304976,0.380225511,0.64195275,0.276836388,0.111004446,0.068752158,0.238810559,0.317260114,0.200755577,0,0,0.379185985,0.103762739,0.297835457
5,0.863172616,0.861166569,0.742861202,1,1,0.263753879,0.645770669,1,0.265331202,0.821167433,0.614321462,0.624343393,0.692061938,0.631975959,0.4819874,0.637742295,0.560088757,0.473420656,0.845329989,0.597262043,0.398650543,0.71578427,0.653917487,0.976539429,0.626941555,0.828793478,0.952316708,0.700367105,0.681107185,0.152542826,0.558568102,0.556265116,0.3943256,0.587458876,0.263499337,0.211963425,0.362545457,0.239014977,0.131606239,0.241081686,0.098462006,0.020803209,0.330900566,0.592363676,0.343645631,0.355322088,0.112929457,0.230839478,0.252055262,0.244651646,0.324470015,0.392193831,0.608258805,0.144310351,0.004925949,0.425101115,0,0.341712025,0.284902995,0.386706436,0.276734249,0,0.18907162,0.525637773
6,0.617168851,0.805132757,1,1,1,0.481057429,0.876633489,1,0.888526437,0.87738487,0.683657569,0.592853988,0.880609622,0.956271818,0.383928892,0.629696263,0.985612107,0.835281559,0.629502877,0.685619328,0.721883186,0.797519069,0.526558288,0.687570541,0.905830724,0.851712724,0.553995948,0.551270463,0.758049849,0.506515318,0.822363837,0.623690656,0.504375158,0.286682849,0.470072866,0.443085079,0.560604357,0.612005137,0.623241454,0.348388646,0.26861805,0.347974515,0.294335945,0.435515726,0.443104407,0.465359544,0.296072037,0.319275105,0.165615365,0.079723996,0.189258825,0.309860643,0.376233792,0.104955628,0.492872111,0.13221036,0.129381924,0,0.239310827,0.285290075,0,0,0.611485679,0.513752575
7,0.730555464,0.839532809,1,0.703076511,0.929268562,1,0.686206978,0.628348172,0.570583647,0.865978857,0.638408196,0.762926682,0.454463891,0.949242315,0.945034978,0.800586796,0.410629176,0.641267862,0.979716452,0.611069097,0.628852777,0.479757964,0.422590914,0.521297779,0.92666918,0.53148747,0.502203474,0.822508535,0.87207746,0.695933639,0.970723501,0.540982542,0.489171042,0.665094637,0.471801917,0.728768594,0.355978084,0.399132257,0.166454371,0.19456869,0.445312315,0.402844612,0.225632239,0.329768956,0.757495765,0.683094068,0.297928582,0.438610191,0.501168144,0.563368956,0.074676447,0.529308405,0.268508134,0.722334368,0.19751334,0.173524201,0.289970583,0.083615928,0.053573419,0,0.027888328,0.371335809,0,0.288043143
8,0.524459788,0.839461558,0.654999733,0.47182757,1,0.569022898,0.726162749,0.840952924,0.807455553,0.714592561,0.634453407,0.939654473,0.678200535,0.841013017,0.59140223,0.865445627,0.380565561,0.989970851,0.839823474,0.196988811,0.810954257,0.743749126,0.7455388,0.884951029,0.636959532,0.529416819,0.567204628,0.496549254,0.57503001,0.499138885,0.650177815,0.284640498,0.108490406,0.470742058,0.688982476,0.466721824,0.275459406,0.555188487,0.648216025,0.323592359,0.015902385,0.343858069,0.237211474,0.74037861,0.415722719,0.220593643,0.306524089,0.400151805,0.057438431,0.30507251,0.179995898,0.066343544,0.151931585,0.195707462,0.16944755,0.15422476,0,0.18118506,0.225523569,0.361677729,0.023228695,0.405976565,0.171527002,0.150453597
9,0.508325442,0.797430272,0.886695944,0.418858739,0.74591896,0.568336339,0.867767726,0.931288227,0.778170475,0.726647388,0.779207548,0.945497408,0.442360676,0.781946945,0.630890381,0.65900086,0.540150202,0.648828186,0.714600683,0.384723171,0.344252472,0.895360807,0.428285527,0.385123778,0.339317157,0.500549822,0.328818586,0.926876785,0.959033409,0.702783492,0.485187945,0.971123888,0.547448485,0.562187711,0.50666117,0.334573189,0.150929402,0.476395693,0.468042873,0.340468844,0.561607185,0.395264353,0.327819664,0.29499471,0.302032541,0.382050825,0.23584556,0.201683471,0.84320564,0.422206538,0.208445688,0.194045048,0.052309329,0.176969207,0.194904342,0.198930047,0.429894263,0.288640835,0,0.349197153,0.378260361,0.12951517,0.309897738,0
